Date,Dividends,Open
1/28/85,0.014627,1.55657
5/20/85,0.014627,1.98648
7/26/85,0.014627,1.917299
11/15/85,0.014627,2.105076
1/27/86,0.016208,1.912358
5/14/86,0.016208,2.490512
7/28/86,0.016208,2.638757
11/17/86,0.016208,2.401565
1/26/87,0.017789,2.663465
5/14/87,0.017789,2.594284
7/27/87,0.017789,2.905598
11/16/87,0.017789,1.858001
2/12/88,0.019766,2.134725
5/16/88,0.019766,2.08531
7/25/88,0.019766,2.040836
11/15/88,0.019766,2.243438
1/23/89,0.021743,2.268145
5/15/89,0.021743,2.411448
7/24/89,0.021743,2.564635
11/13/89,0.021743,2.930305
2/5/90,0.023719,2.342268
5/14/90,0.023719,2.628874
8/6/90,0.023719,2.791943
11/9/90,0.023719,3.21197
2/22/91,0.026091,4.131088
5/13/91,0.026091,4.575822
8/1/91,0.026091,4.882195
11/8/91,0.026091,5.178684
2/3/92,0.029254,5.929791
5/11/92,0.029254,5.850727
8/3/92,0.029254,6.087919
11/16/92,0.029254,6.107685
2/8/93,0.033207,4.664769
5/10/93,0.033207,5.682717
8/2/93,0.033207,4.951376
11/5/93,0.033207,5.317046
2/7/94,0.03716,4.585705
5/9/94,0.03716,5.010674
8/1/94,0.03716,4.882195
11/4/94,0.03716,6.078036
2/6/95,0.041113,6.552419
5/8/95,0.041113,6.957622
8/2/95,0.041113,7.570367
11/8/95,0.041113,9.250474
2/7/96,0.047438,10.515497
5/8/96,0.047438,11.148008
7/31/96,0.047438,10.930582
11/6/96,0.047438,14.191967
2/5/97,0.053763,14.251265
5/7/97,0.053763,16.287161
7/30/97,0.053763,18.698608
11/5/97,0.053763,23.620335
2/4/98,0.060089,28.146744
5/6/98,0.060089,33.167297
8/5/98,0.060089,29.648956
11/4/98,0.060089,34.847408
2/10/99,0.069576,41.449242
5/5/99,0.069576,34.155598
8/4/99,0.075901,36.231026
11/9/99,0.075901,34.274193
2/16/00,0.085389,30.479128
5/9/00,0.085389,43.346775
8/16/00,0.085389,41.508537
11/15/00,0.085389,41.864326
2/14/01,0.104364,42.675522
5/16/01,0.104364,40.322582
8/15/01,0.104364,36.480076
11/14/01,0.104364,41.242886
2/13/02,0.12334,39.060722
5/15/02,0.12334,33.04554
8/14/02,0.12334,30.388994
11/13/02,0.12334,30.360531
1/15/03,0.142315,29.601519
5/14/03,0.142315,29.829222
8/13/03,0.142315,28.605312
11/12/03,0.142315,32.333965
2/11/04,0.16129,35.23719
5/12/04,0.16129,33.349148
8/11/04,0.16129,30.882353
11/9/04,0.16129,26.574953
2/9/05,0.180266,25.170778
5/11/05,0.180266,26.49905
8/10/05,0.180266,24.155598
11/8/05,0.180266,20.180265
2/8/06,0.227704,24.762808
5/10/06,0.227704,22.609108
8/9/06,0.227704,26.366224
11/8/06,0.227704,26.195446
2/7/07,0.275142,23.576851
5/9/07,0.275142,26.119545
